label,index,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,img_bdensity
golfclub,07,86,1,0,11,2,15,16,26,17,0.6538461538461539,9,8,7,1,0.36046511627906974,0.19457013574660634
golfclub,08,61,4,3,10,15,7,8,20,25,1.25,7,4,11,2,0.36065573770491804,0.122
golfclub,09,70,3,1,11,5,9,17,22,22,1.0,10,6,7,1,0.5142857142857142,0.1446280991735537
golfclub,10,69,2,0,18,7,7,15,26,21,0.8076923076923077,7,5,12,2,0.4492753623188406,0.12637362637362637
golfclub,11,79,3,0,17,8,9,18,28,25,0.8928571428571429,7,4,11,1,0.4936708860759494,0.11285714285714285
golfclub,12,79,1,1,15,6,10,19,25,25,1.0,10,5,7,4,0.34177215189873417,0.1264
golfclub,13,69,18,9,6,10,7,10,30,28,0.9333333333333333,8,6,20,1,0.6666666666666666,0.08214285714285714
golfclub,14,92,2,0,13,5,14,21,28,25,0.8928571428571429,9,7,7,2,0.42391304347826086,0.13142857142857142
lemon,01,69,0,3,16,0,8,13,23,15,0.6521739130434783,8,11,13,0,0.0,0.2
lemon,02,69,0,0,2,4,12,18,13,21,1.6153846153846154,10,4,10,1,1.826086956521739,0.25274725274725274
lemon,03,80,0,0,2,4,16,21,17,24,1.411764705882353,9,5,17,1,2.4,0.19607843137254902
lemon,04,107,0,0,0,8,21,25,20,32,1.6,10,5,13,1,2.850467289719626,0.1671875
lemon,05,64,0,1,4,1,11,18,14,19,1.3571428571428572,11,5,13,1,1.796875,0.24060150375939848
lemon,06,57,0,0,0,6,12,12,11,17,1.5454545454545454,7,4,8,1,1.3333333333333333,0.3048128342245989
lemon,07,55,0,0,2,5,11,13,12,17,1.4166666666666667,8,4,12,1,1.9090909090909092,0.2696078431372549
lemon,08,58,0,0,0,3,11,15,10,17,1.7,9,5,7,1,1.1724137931034482,0.3411764705882353
lemon,09,52,0,0,0,4,10,13,9,16,1.7777777777777777,7,4,4,1,1.3269230769230769,0.3611111111111111
lemon,10,66,0,0,3,6,12,15,14,20,1.4285714285714286,9,5,15,1,1.893939393939394,0.2357142857142857
lemon,11,65,0,0,0,4,14,17,13,20,1.5384615384615385,8,4,11,1,1.8615384615384616,0.25
lemon,12,96,0,0,1,6,17,23,17,28,1.6470588235294117,13,6,9,1,2.40625,0.20168067226890757
lemon,13,82,0,0,3,9,13,18,15,26,1.7333333333333334,11,5,13,1,2.5,0.21025641025641026
lemon,14,69,0,0,2,4,11,19,12,22,1.8333333333333333,10,4,12,1,1.9130434782608696,0.26136363636363635
pencil,01,83,0,0,0,1,17,18,16,18,1.125,9,8,7,2,0.7469879518072289,0.2881944444444444
